Date,Open,High,Low,Close,Adj Close,Volume,Close_Diff
17-Feb-06,1289.38,1289.47,1284.07,1287.24,1287.24,"2,128,260,000",4.21
16-Feb-06,1280,1289.39,1280,1289.38,1289.38,"2,251,490,000",2.14
15-Feb-06,1275.53,1281,1271.06,1280,1280,"2,317,590,000",-9.38
14-Feb-06,1262.86,1278.21,1260.8,1275.53,1275.53,"2,437,940,000",-4.47
13-Feb-06,1266.99,1266.99,1258.34,1262.86,1262.86,"1,850,080,000",-12.67
10-Feb-06,1263.82,1269.89,1254.98,1266.99,1266.99,"2,290,050,000",4.13
9-Feb-06,1265.65,1274.56,1262.8,1263.78,1263.78,"2,441,920,000",-3.21
8-Feb-06,1254.78,1266.47,1254.78,1265.65,1265.65,"2,456,860,000",1.87
7-Feb-06,1265.02,1265.78,1253.61,1254.78,1254.78,"2,366,370,000",-10.87
6-Feb-06,1264.03,1267.04,1261.62,1265.02,1265.02,"2,132,360,000",10.24
3-Feb-06,1270.84,1270.87,1261.02,1264.03,1264.03,"2,282,210,000",-0.99
2-Feb-06,1282.46,1282.46,1267.72,1270.84,1270.84,"2,565,300,000",6.81
1-Feb-06,1280.08,1283.33,1277.57,1282.46,1282.46,"2,589,410,000",11.62
31-Jan-06,1285.2,1285.2,1276.85,1280.08,1280.08,"2,708,310,000",-2.38
30-Jan-06,1283.72,1287.94,1283.51,1285.19,1285.19,"2,282,730,000",5.11
27-Jan-06,1273.83,1286.38,1273.83,1283.72,1283.72,"2,623,620,000",-1.47
26-Jan-06,1264.68,1276.44,1264.68,1273.83,1273.83,"2,856,780,000",-9.89
25-Jan-06,1266.86,1271.87,1259.42,1264.68,1264.68,"2,617,060,000",-9.15
24-Jan-06,1263.82,1271.47,1263.82,1266.86,1266.86,"2,608,720,000",2.18
23-Jan-06,1261.49,1268.19,1261.49,1263.82,1263.82,"2,256,070,000",-3.04
20-Jan-06,1285.04,1285.04,1260.92,1261.49,1261.49,"2,845,810,000",-2.33
19-Jan-06,1277.93,1287.79,1277.93,1285.04,1285.04,"2,444,020,000",23.55
18-Jan-06,1282.93,1282.93,1272.08,1277.93,1277.93,"2,233,200,000",-7.11
17-Jan-06,1287.61,1287.61,1278.61,1282.93,1282.93,"2,179,970,000",5
13-Jan-06,1286.06,1288.96,1282.78,1287.61,1287.61,"2,206,510,000",4.68
12-Jan-06,1294.18,1294.18,1285.04,1286.06,1286.06,"2,318,350,000",-1.55
11-Jan-06,1289.72,1294.9,1288.12,1294.18,1294.18,"2,406,130,000",8.12
10-Jan-06,1290.15,1290.15,1283.76,1289.69,1289.69,"2,373,080,000",-4.49
9-Jan-06,1285.45,1290.78,1284.82,1290.15,1290.15,"2,301,490,000",0.46
6-Jan-06,1273.48,1286.09,1273.48,1285.45,1285.45,"2,446,560,000",-4.7
5-Jan-06,1273.46,1276.91,1270.3,1273.48,1273.48,"2,433,340,000",-11.97
4-Jan-06,1268.8,1275.37,1267.74,1273.46,1273.46,"2,515,330,000",-0.02
3-Jan-06,1248.29,1270.22,1245.74,1268.8,1268.8,"2,554,570,000",-4.66
30-Dec-05,1254.42,1254.42,1246.59,1248.29,1248.29,"1,443,500,000",-20.51
29-Dec-05,1258.17,1260.61,1254.18,1254.42,1254.42,"1,382,540,000",6.13
28-Dec-05,1256.54,1261.1,1256.54,1258.17,1258.17,"1,422,360,000",3.75
27-Dec-05,1268.66,1271.83,1256.54,1256.54,1256.54,"1,540,470,000",-1.63
23-Dec-05,1268.12,1269.76,1265.92,1268.66,1268.66,"1,285,810,000",12.12
22-Dec-05,1262.79,1268.19,1262.5,1268.12,1268.12,"1,888,500,000",-0.54
21-Dec-05,1259.62,1269.37,1259.62,1262.79,1262.79,"2,065,170,000",-5.33
20-Dec-05,1259.92,1263.86,1257.21,1259.62,1259.62,"1,996,690,000",-3.17
19-Dec-05,1267.32,1270.51,1259.28,1259.92,1259.92,"2,208,810,000",0.3
16-Dec-05,1270.94,1275.24,1267.32,1267.32,1267.32,"2,584,190,000",7.4
15-Dec-05,1272.74,1275.17,1267.74,1270.94,1270.94,"2,180,590,000",3.62
14-Dec-05,1267.43,1275.8,1267.07,1272.74,1272.74,"2,145,520,000",1.8
13-Dec-05,1260.43,1272.11,1258.56,1267.43,1267.43,"2,390,020,000",-5.31
12-Dec-05,1259.37,1263.86,1255.52,1260.43,1260.43,"1,876,550,000",-7
9-Dec-05,1255.84,1263.08,1254.24,1259.37,1259.37,"1,896,290,000",-1.06
8-Dec-05,1257.37,1263.36,1250.91,1255.84,1255.84,"2,178,300,000",-3.53
7-Dec-05,1263.7,1264.85,1253.02,1257.37,1257.37,"2,093,830,000",1.53
